language,fleurs_config,fleurs_lang_code,iso639_3,region_group,analysis_version,fleurs_revision,ud_revision,fleurs_n_utterances,fleurs_train_files,fleurs_downloaded_bytes,ud_status,ud_treebank,ud_downloaded_bytes,max_lag_characters,max_lag_rule,memory_cost_bits_char,word_rate_wps,syllable_rate_sps,speech_char_rate_cps,seconds_per_character,mean_duration_s,median_duration_s,estimated_syllable_total,syllable_estimator,locality_lambda_per_char,locality_lambda_per_s,locality_quality_status,locality_lambda_r2,locality_fit_rmse_bits,hilberg_alpha,hilberg_r2,hilberg_alpha_at_bound,locality_amplitude,n_decay_points,n_positive_information_points,decay_start_lag,decay_end_lag,decay_start_seconds,decay_end_seconds,decay_fit_method,lambda_q025,lambda_q975,lambda_bootstrap_n,lambda_bootstrap_method,n_words,n_word_types,mean_word_length_chars,median_word_length_chars,lexical_ttr,n_chars,mean_chars_per_utterance,H_original,H_order,H_structure,word_order_redundancy,word_structure_redundancy,word_order_redundancy_raw,word_structure_redundancy_raw,morphology_index,morphology_index_status,morphology_estimator_version,char_entropy_rate_bits,morphology_corpus_characters,morphology_character_definition,ud_n_sentences,ud_n_tokens,ud_morph_feature_density,ud_mean_feats_per_token,ud_dependency_direction_entropy_bits,ud_mean_dependency_distance,morphology_source,locality_estimator,locality_effective_train_chars,locality_effective_valid_chars,locality_eval_positions,locality_requested_train_chars,locality_requested_valid_chars,locality_target_unit,locality_train_valid_fraction,speech_time_source
Galician,gl_es,gl,glg,Western Europe,2026-09-16-hf-fleurs-ud-v1,main,2.18,1200,1,1532551600,loaded,gl_ctg,1138272,20,standard_fixed_lag,9.372855301763035,2.0383351522492594,4.266232325533983,10.255987431490832,0.0975040196451018,11.117733333333332,10.7,56917.0,"unicode_orthographic_heuristic_v2; approximate, not gold phonological annotation",0.5811239874623063,5.96000031155125,identified,0.9594958538760352,0.0609132533671693,1.4522704883579964,-1.0271727018322148,False,2.222739644641901,20,20,1.0,20.0,0.0975040196451018,1.9500803929020367,nonlinear_exponential_least_squares_positive_prefix,4.6612836407417495,6.500199690120505,117,parametric_residual_positive_prefix,64760.0,12545.0,5.259604694255714,5.0,0.1937152563310685,403100.0,177.42077464788733,1.8964264406030984,2.1388951217390293,2.454136736670355,0.2424686811359311,0.5577102960672569,0.2424686811359311,0.5577102960672569,0.6969819402361511,identified,koplenig_lz_longest_match_v6_ud_annotations,1.8964264406030984,405371.0,normalized_utterances_joined_by_single_spaces; Koplenig-style entropy-rate corpus,2272.0,79413.0,0.2201528716960699,0.3952123707705287,0.987083699840172,3.4552572561932045,Universal Dependencies 2.18 treebank,held-out character-level interpolated Kneser-Ney,99954,19978,16707,100000,20000,Unicode character excluding whitespace as eligible target; whitespace retained inside context stream,0.8,FLEURS num_samples at 16 kHz
Macedonian,mk_mk,mk,mkd,Eastern Europe,2026-09-16-hf-fleurs-ud-v1,main,2.18,1200,1,1559356545,no_matching_treebank,,0,20,standard_fixed_lag,9.743726512224534,1.912007520994793,1.9157996192101368,9.964370077185,0.1003575732589115,10.54825,9.84,24250.0,"unicode_orthographic_heuristic_v2; approximate, not gold phonological annotation",0.6081170681508734,6.059503517308033,identified,0.9587007480410864,0.0693870694238873,1.5877332928697552,-1.6422692686401934,False,2.587445204058904,20,20,1.0,20.0,0.1003575732589115,2.007151465178232,nonlinear_exponential_least_squares_positive_prefix,4.993413071727429,6.895678353882829,133,parametric_residual_positive_prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,held-out character-level interpolated Kneser-Ney,99977,19992,16577,100000,20000,Unicode character excluding whitespace as eligible target; whitespace retained inside context stream,0.8,FLEURS num_samples at 16 kHz
Urdu,ur_pk,ur,urd,South Asia,2026-09-16-hf-fleurs-ud-v1,main,2.18,1200,1,1598115208,loaded,ur_udtb,3239175,20,standard_fixed_lag,10.095010805576216,2.229174432061693,2.229802643794176,8.110143665043088,0.1233023780220158,11.93865,11.19,31945.0,"unicode_orthographic_heuristic_v2; approximate, not gold phonological annotation",0.4434841196796916,3.5967199237674614,identified,0.989263788812558,0.0303696713039074,1.4925588954667617,-2.5027054138980644,False,1.7892626985236717,20,20,1.0,20.0,0.1233023780220158,2.466047560440317,nonlinear_exponential_least_squares_positive_prefix,,,46,parametric_residual_positive_prefix,104326.0,9194.0,3.652588999865805,3.0,0.0881276000230048,481343.0,119.055899084838,1.3800622031378276,2.466817471222183,1.502741167955116,1.0867552680843553,0.1226789648172883,1.0867552680843553,0.1226789648172883,0.101435002813638,identified,koplenig_lz_longest_match_v6_ud_annotations,1.3800622031378276,485385.0,normalized_utterances_joined_by_single_spaces; Koplenig-style entropy-rate corpus,4043.0,108690.0,0.8366271046094397,2.8140123286410894,0.9736993232888728,3.492981165250796,Universal Dependencies 2.18 treebank,held-out character-level interpolated Kneser-Ney,93263,19988,16468,100000,20000,Unicode character excluding whitespace as eligible target; whitespace retained inside context stream,0.8,FLEURS num_samples at 16 kHz
Khmer,km_kh,km,khm,South/Southeast Asia,2026-09-16-hf-fleurs-ud-v1,main,2.18,1200,1,1599896497,no_matching_treebank,,0,20,standard_fixed_lag,8.544202056182849,0.3985288454806414,0.4701283868935098,8.621481831547996,0.1159893414541301,15.2352,14.76,8595.0,"unicode_orthographic_heuristic_v2; approximate, not gold phonological annotation",0.6678285825721013,5.7576719912338215,identified,0.9990533066468504,0.0146233375454207,2.2199423561080938,-2.9050094385473395,False,3.868928100576282,20,20,1.0,20.0,0.1159893414541301,2.319786829082604,nonlinear_exponential_least_squares_positive_prefix,,,7,parametric_residual_positive_prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,held-out character-level interpolated Kneser-Ney,99980,19982,16729,100000,20000,Unicode character excluding whitespace as eligible target; whitespace retained inside context stream,0.8,FLEURS num_samples at 16 kHz
Estonian,et_ee,et,est,Eastern Europe,2026-09-16-hf-fleurs-ud-v1,main,2.18,1200,1,1658797289,loaded,et_edt,7000450,20,standard_fixed_lag,8.68840133344975,1.525934641887329,3.885333092941495,9.90090162754764,0.1010009025054509,10.53835,9.84,49134.0,"unicode_orthographic_heuristic_v2; approximate, not gold phonological annotation",0.5305514587906636,5.252937801838255,identified,0.9411382940068622,0.0671819238793609,1.561117879584237,-2.1841406095214864,False,1.87781707432154,20,20,1.0,20.0,0.1010009025054509,2.0200180501090195,nonlinear_exponential_least_squares_positive_prefix,3.951723663625728,6.016494718627611,151,parametric_residual_positive_prefix,56194.0,21456.0,6.125404847492615,6.0,0.3818201231448197,395405.0,79.081,2.345129432065493,2.461709596768386,3.33040306791748,0.116580164702893,0.9852736358519868,0.116580164702893,0.9852736358519868,0.8941963401640175,identified,koplenig_lz_longest_match_v6_ud_annotations,2.345129432065493,400404.0,normalized_utterances_joined_by_single_spaces; Koplenig-style entropy-rate corpus,5000.0,66564.0,0.6834024397572261,1.9912865813352565,0.9777933271899378,3.158599181339744,Universal Dependencies 2.18 treebank,held-out character-level interpolated Kneser-Ney,99987,19979,16372,100000,20000,Unicode character excluding whitespace as eligible target; whitespace retained inside context stream,0.8,FLEURS num_samples at 16 kHz
Cantonese Chinese,yue_hant_hk,yue,yue,CJK,2026-09-16-hf-fleurs-ud-v1,main,2.18,1200,1,1668413359,no_matching_treebank,,0,10,low_resource_fixed_lag,15.371478842325365,2.4161000343566066,2.381177110194096,2.489217940440998,0.4017326019363482,13.24345,12.48,37842.0,"unicode_orthographic_heuristic_v2; approximate, not gold phonological annotation",0.5006910663987825,1.2463291850983842,identified,0.7884264785729501,0.4224443543312504,1.1227611594065678,0.5955802458470747,False,4.3173306583451225,10,10,1.0,10.0,0.4017326019363482,4.017326019363482,nonlinear_exponential_least_squares_positive_prefix,,,28,parametric_residual_positive_prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,held-out character-level interpolated Kneser-Ney,31811,7748,6294,100000,20000,Unicode character excluding whitespace as eligible target; whitespace retained inside context stream,0.8,FLEURS num_samples at 16 kHz
Japanese,ja_jp,ja,jpn,CJK,2026-09-16-hf-fleurs-ud-v1,main,2.18,1200,1,1686320112,loaded,ja_gsd,7577655,10,low_resource_fixed_lag,9.284874170607388,0.2624655280719101,4.071772033160657,4.194941394201111,0.2383823529411764,11.8333,11.28,57819.0,"unicode_orthographic_heuristic_v2; approximate, not gold phonological annotation",0.9840808551656554,4.128161514575235,identified,0.9983651479443864,0.0362993355141797,1.654498240655521,0.8703800004632359,False,8.08075926816314,10,10,1.0,10.0,0.2383823529411764,2.3838235294117647,nonlinear_exponential_least_squares_positive_prefix,3.891101481862466,4.218297696975472,189,parametric_residual_positive_prefix,12635.0,12056.0,14.530668777206174,13.0,0.9541749109616146,191230.0,38.246,4.536563429075639,4.550967973713676,7.564811930630049,0.0144045446380367,3.02824850155441,0.0144045446380367,3.02824850155441,0.995265794548589,identified,koplenig_lz_longest_match_v6_ud_annotations,4.536563429075639,196229.0,normalized_utterances_joined_by_single_spaces; Koplenig-style entropy-rate corpus,5000.0,119117.0,0.005557561053418,0.005557561053418,0.998814814634838,2.821954660567663,Universal Dependencies 2.18 treebank,held-out character-level interpolated Kneser-Ney,47632,11936,9421,100000,20000,Unicode character excluding whitespace as eligible target; whitespace retained inside context stream,0.8,FLEURS num_samples at 16 kHz
Lao,lo_la,lo,lao,South/Southeast Asia,2026-09-16-hf-fleurs-ud-v1,main,2.18,1200,1,1693652897,no_matching_treebank,,0,20,standard_fixed_lag,9.904795109034085,0.3845946686194358,0.4571359157100504,7.643819038811286,0.1308246564868329,14.54345,14.01,7978.0,"unicode_orthographic_heuristic_v2; approximate, not gold phonological annotation",0.6643214670397151,5.0779530776492185,identified,0.9989839136266316,0.0152362052363528,1.868929825993949,-1.44072522486019,False,3.897349677817183,20,20,1.0,20.0,0.1308246564868329,2.6164931297366585,nonlinear_exponential_least_squares_positive_prefix,,,47,parametric_residual_positive_prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,held-out character-level interpolated Kneser-Ney,99976,19989,16405,100000,20000,Unicode character excluding whitespace as eligible target; whitespace retained inside context stream,0.8,FLEURS num_samples at 16 kHz
English (US),en_us,en,eng,North America,2026-09-16-hf-fleurs-ud-v1,main,2.18,1200,1,1721501976,loaded,en_gum,6186637,20,standard_fixed_lag,8.63740721629651,2.0609160555664507,3.546363779573125,9.929802508270347,0.100706937440812,10.368366666666669,9.72,44124.0,"unicode_orthographic_heuristic_v2; approximate, not gold phonological annotation",0.4607653033046811,4.575308464478771,identified,0.979421487806144,0.0383556404433295,1.521506929322752,-2.1298304855429686,False,1.6613040034847495,20,20,1.0,20.0,0.100706937440812,2.01413874881624,nonlinear_exponential_least_squares_positive_prefix,,,27,parametric_residual_positive_prefix,73407.0,11354.0,4.527333905485853,4.0,0.1546718977754165,400745.0,80.149,2.052278580322698,2.320268812434875,2.5112517280084994,0.2679902321121767,0.4589731476858012,0.2679902321121767,0.4589731476858012,0.6313566273631956,identified,koplenig_lz_longest_match_v6_ud_annotations,2.052278580322698,405744.0,normalized_utterances_joined_by_single_spaces; Koplenig-style entropy-rate corpus,5000.0,86296.0,0.665789839621767,1.3789862797812182,0.9625372691945948,3.400819228498327,Universal Dependencies 2.18 treebank,held-out character-level interpolated Kneser-Ney,99672,19996,16432,100000,20000,Unicode character excluding whitespace as eligible target; whitespace retained inside context stream,0.8,FLEURS num_samples at 16 kHz
Asturian,ast_es,ast,ast,Western Europe,2026-09-16-hf-fleurs-ud-v1,main,2.18,1200,1,1727205384,no_matching_treebank,,0,20,standard_fixed_lag,9.208538774809645,1.997017096115277,3.911973456478475,9.601028885687777,0.1041555037388437,10.79485,10.38,50675.0,"unicode_orthographic_heuristic_v2; approximate, not gold phonological annotation",0.5693716041911675,5.466553218529785,identified,0.9523100938028096,0.0667262130955955,1.5092469978538474,-1.2954192041498267,False,2.1954607708195395,20,20,1.0,20.0,0.1041555037388437,2.083110074776876,nonlinear_exponential_least_squares_positive_prefix,4.153731549462771,6.271258944041361,138,parametric_residual_positive_prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,held-out character-level interpolated Kneser-Ney,99301,19991,16646,100000,20000,Unicode character excluding whitespace as eligible target; whitespace retained inside context stream,0.8,FLEURS num_samples at 16 kHz
Slovenian,sl_si,sl,slv,Eastern Europe,2026-09-16-hf-fleurs-ud-v1,main,2.18,1200,1,1746405673,loaded,sl_ssj,3738504,20,standard_fixed_lag,10.658104159230165,1.7370106056550387,3.841960163387277,9.24096901176709,0.1082137596962655,11.02085,10.56,50810.0,"unicode_orthographic_heuristic_v2; approximate, not gold phonological annotation",0.4138830551267579,3.82468048692186,identified,0.9545252078715336,0.0575121407163444,1.444091222584437,-3.1732729245378426,False,1.564971504647984,20,20,1.0,20.0,0.1082137596962655,2.1642751939253104,nonlinear_exponential_least_squares_positive_prefix,3.078349587683833,4.221440860740487,124,parametric_residual_positive_prefix,85164.0,26573.0,5.105701939786765,5.0,0.3120215114367573,514986.0,102.9972,2.3758168116536127,2.5209734201908653,3.199041696547247,0.1451566085372526,0.8232248848936341,0.1451566085372526,0.8232248848936341,0.8501039006611164,identified,koplenig_lz_longest_match_v6_ud_annotations,2.3758168116536127,519985.0,normalized_utterances_joined_by_single_spaces; Koplenig-style entropy-rate corpus,5000.0,100673.0,0.7421354285657524,2.4586035977868943,0.9614820819633184,3.685867486124612,Universal Dependencies 2.18 treebank,held-out character-level interpolated Kneser-Ney,97311,19970,16513,100000,20000,Unicode character excluding whitespace as eligible target; whitespace retained inside context stream,0.8,FLEURS num_samples at 16 kHz
