language,iso639_3,locality_lambda_per_s,morphology_index,ud_status,family
Norwegian Bokmål,nob,4.340108215665091,,no_matching_treebank,Indo-European
Amharic,amh,3.1103445123924858,,no_matching_treebank,Afro-Asiatic
Nepali,nep,4.87846538189057,,no_matching_treebank,Indo-European
Javanese,jav,6.182466518282225,,no_matching_treebank,Austronesian
Umbundu,umb,4.590058890158546,,no_matching_treebank,Niger-Congo
Croatian,hrv,4.216685964500218,0.6514175019048761,loaded,Indo-European
Kazakh,kaz,6.223084280918508,0.8879251499202232,loaded,Turkic
Burmese,mya,11.84116200605224,,no_matching_treebank,Sino-Tibetan
Marathi,mar,5.155791822050822,0.6922447180704692,loaded,Indo-European
Persian,fas,2.643284551396417,0.6710718736903178,loaded,Indo-European
Welsh,cym,3.4487236755828348,0.5923008811692978,loaded,Indo-European
Irish,gle,4.201206354687246,0.3016767464480527,loaded,Indo-European
Cebuano,ceb,5.567260989329645,,no_matching_treebank,Austronesian
Sindhi,snd,3.403707572999092,0.4475063807334692,loaded,Indo-European
Ganda,lug,5.3432301306830485,,no_matching_treebank,Niger-Congo
Northern Sotho,nso,4.082607727325304,,no_matching_treebank,Niger-Congo
Somali,som,5.32833291962679,,no_matching_treebank,Afro-Asiatic
Xhosa,xho,6.620197032563799,,no_matching_treebank,Niger-Congo
Swahili,swa,4.938365010275714,,no_matching_treebank,Niger-Congo
Igbo,ibo,3.505971524900459,,no_matching_treebank,Niger-Congo
Hausa,hau,6.1460874157334935,,no_matching_treebank,Afro-Asiatic
Fulah,ful,3.543359950120777,,no_matching_treebank,Niger-Congo
Occitan,oci,4.153268216257235,0.8084694283409537,loaded,Indo-European
Zulu,zul,5.440599794901966,,no_matching_treebank,Niger-Congo
Kamba,kam,6.025494631318471,,no_matching_treebank,Niger-Congo
Māori,mri,3.7677800711665257,,no_matching_treebank,Austronesian
Catalan,cat,5.320628727387812,0.3683353316518794,loaded,Indo-European
Danish,dan,4.601159074301108,0.7897482794746019,loaded,Indo-European
Wolof,wol,3.849066080344946,0.5773762651847604,loaded,Niger-Congo
Pashto,pus,4.185279238852408,,no_matching_treebank,Indo-European
German,deu,6.518219107288747,0.470228041427494,loaded,Indo-European
Ukrainian,ukr,4.243325543064729,0.794019772838431,loaded,Indo-European
Romanian,ron,4.587695428137244,0.3324051744826339,loaded,Indo-European
Lingala,lin,5.090954954024817,,no_matching_treebank,Niger-Congo
